序號,英文名稱,中文名稱,中國大陸譯名,來源網站
488,medicine,醫學；內科學；藥物,医学,https://terms.naer.edu.tw/
489,mediciner,醫學家,医生,https://terms.naer.edu.tw/
490,membranous labyrinth,膜質迷路；膜迷路；膜[性]迷路,膜迷路,https://terms.naer.edu.tw/
491,menarche,月經初潮；初經；初經期,月经初潮,https://terms.naer.edu.tw/
492,meningitis,腦膜炎,脑膜炎,https://terms.naer.edu.tw/
493,menopause,更年期；停經期；停經；閉經；絕經期,绝经,https://terms.naer.edu.tw/
494,menstruation,月經,月经,https://terms.naer.edu.tw/
495,mercurial poisoning,水銀中毒,汞中毒,https://terms.naer.edu.tw/
496,mercuric chloride,氯化汞,氯化汞,https://terms.naer.edu.tw/
497,mercurochrome,紅汞,红药水,https://terms.naer.edu.tw/
498,metacarpal bones,掌骨(metacarpal bone),掌骨,https://terms.naer.edu.tw/
499,metallic poisoning,金屬中毒,金属中毒,https://terms.naer.edu.tw/
500,Metals poisoning,金屬中毒,类金属中毒,https://terms.naer.edu.tw/
501,metaplasia,轉變；化生；變生,化生,https://terms.naer.edu.tw/
502,metatarsal bones,蹠骨,跖骨,https://terms.naer.edu.tw/
503,metathalamus,丘腦後部,后丘脑,https://terms.naer.edu.tw/
504,midaxillary line,腋中線,腋中线,https://terms.naer.edu.tw/
505,midclavicular line,鎖骨中線,锁骨中线,https://terms.naer.edu.tw/
506,middle cranial fossa,顱中窩,颅中窝,https://terms.naer.edu.tw/
507,middle ear,中耳,中耳,https://terms.naer.edu.tw/
508,migraine,偏頭痛,偏头痛,https://terms.naer.edu.tw/
509,mild common cold,輕度感冒,伤风,https://terms.naer.edu.tw/
510,miliaria,汗疹,痱子,https://terms.naer.edu.tw/
511,military surgeon,軍事醫官,军医,https://terms.naer.edu.tw/
512,milk powder,奶粉,奶粉,https://terms.naer.edu.tw/
513,mineral substance,礦物質,矿物质,https://terms.naer.edu.tw/
514,mitral stenosis,僧帽瓣狹窄；二尖瓣狹窄,二尖瓣狭窄,https://terms.naer.edu.tw/
515,molars,磨牙,磨牙,https://terms.naer.edu.tw/
516,mold,黴菌；鑄模；模具；模型；鑄模；模製；黴,霉菌,https://terms.naer.edu.tw/
517,monosaccharide,單醣；單醣類,单糖,https://terms.naer.edu.tw/
518,monozygotic twins,一卵性雙生兒；單合子雙生；單合子雙生,单卵孪生,https://terms.naer.edu.tw/
519,mons pubis,陰阜,阴阜,https://terms.naer.edu.tw/
520,morphine,嗎啡[鹼],吗啡,https://terms.naer.edu.tw/
521,motor neuron,運動神經元,运动神经元,https://terms.naer.edu.tw/
522,mountain sickness,高山症{同Acosta氏病},高山病,https://terms.naer.edu.tw/
523,mucous membrane of nose,鼻黏膜(Tunica mucosa nasi；Nasal mucous membrane ),鼻黏膜,https://terms.naer.edu.tw/
524,muscle tissue,肌肉組織,肌肉组织,https://terms.naer.edu.tw/
525,muscles of back,背肌(back muscles ),背肌,https://terms.naer.edu.tw/
526,mushroom poisoning,蕈中毒,毒蕈中毒,https://terms.naer.edu.tw/
527,myopia,近視,近视,https://terms.naer.edu.tw/
528,nasal bone,鼻骨,鼻骨,https://terms.naer.edu.tw/
529,nasolabial fold,鼻唇溝,鼻唇沟,https://terms.naer.edu.tw/
530,nasopharyngeal carcinoma,鼻咽癌,鼻咽癌,https://terms.naer.edu.tw/
531,natality,出生率,出生率,https://terms.naer.edu.tw/
532,necrosis,壞死,坏死,https://terms.naer.edu.tw/
533,negative feedback,負反饋；負回饋；負回授,负反馈,https://terms.naer.edu.tw/
534,nephritis,腎炎,肾炎,https://terms.naer.edu.tw/
535,nerve ending,神經末梢；神經末端,神经末梢,https://terms.naer.edu.tw/
536,nerve fiber,神經纖維,神经纤维,https://terms.naer.edu.tw/
537,nerve tissue,神經組織,神经组织,https://terms.naer.edu.tw/
538,nervous system,神經系[統],神经系统,https://terms.naer.edu.tw/
539,neurasthenia,神經衰弱,神经衰弱,https://terms.naer.edu.tw/
540,neuroglia,神經膠[質]；神經膠(細胞)；神經膠細胞,神经胶质,https://terms.naer.edu.tw/
541,neuron,神經元；神經細胞；神經原,神经元,https://terms.naer.edu.tw/
542,neuropathy,神經病變,神经病,https://terms.naer.edu.tw/
543,nevus,痣,痣,https://terms.naer.edu.tw/
544,newborn,新生兒,新生儿,https://terms.naer.edu.tw/
545,nicotine,尼古丁,尼古丁,https://terms.naer.edu.tw/
546,nicotinic acid,菸鹼酸,烟酸,https://terms.naer.edu.tw/
547,Nightingale,南丁格爾,南丁格尔,https://terms.naer.edu.tw/
548,nitrite poisoning,亞硝酸鹽中毒,亚硝酸盐中毒,https://terms.naer.edu.tw/
549,noise,噪音,噪声,https://terms.naer.edu.tw/
550,non-essential amino acid,非必需胺基酸,非必需氨基酸,https://terms.naer.edu.tw/
551,nuclear medicine,核子醫學；核醫學,核医学,https://terms.naer.edu.tw/
552,nucleus,[原子]核；[晶]核；核心；核心程式；石核；結晶核；細胞核；神經核,神经核,https://terms.naer.edu.tw/
553,nurse,護士；保姆；奶媽；養育者；保護樹,护士,https://terms.naer.edu.tw/
554,nursing,護理,护理,https://terms.naer.edu.tw/
555,nutrient,營養素；滋養的,营养素,https://terms.naer.edu.tw/
556,nutrition deficiency,營養缺乏,营养缺乏,https://terms.naer.edu.tw/
557,nutritional anemia,營養性貧血,营养性贫血,https://terms.naer.edu.tw/
558,nyctalopia,夜盲症；夜盲,夜盲,https://terms.naer.edu.tw/
559,obliquus externus abdominis,腹外斜肌,腹外斜肌,https://terms.naer.edu.tw/
560,occipital bone,枕骨,枕骨,https://terms.naer.edu.tw/
561,occupational disease,職業病,职业病,https://terms.naer.edu.tw/
562,oculomotor nerve,動眼神經,动眼神经,https://terms.naer.edu.tw/
563,olecranon process of ulna,尺骨鷹嘴突,尺骨鹰嘴,https://terms.naer.edu.tw/
564,olfactory nerve,嗅覺神經；嗅神經,嗅神经,https://terms.naer.edu.tw/
565,optic nerve,視神經,视神经,https://terms.naer.edu.tw/
566,optical radiation,光放射；光輻射,光辐射,https://terms.naer.edu.tw/
567,optometry,驗光,验光,https://terms.naer.edu.tw/
568,oral cavity,口腔,口腔,https://terms.naer.edu.tw/
569,oral lips,口腔嘴唇,口唇,https://terms.naer.edu.tw/
570,orbit,軌道；眼眶；軌道運行；眶；軌跡；眼窠,眶,https://terms.naer.edu.tw/
571,orthostatic hypotension,起立性低血壓,直立性低血压,https://terms.naer.edu.tw/
572,otitis media,中耳炎,中耳炎,https://terms.naer.edu.tw/
573,otpatient,門診(outpatient),门诊,https://terms.naer.edu.tw/
574,ovary,卵巢；子房；卵巢；子房 {植物},卵巢,https://terms.naer.edu.tw/
575,ovulation,排卵 ；放卵,排卵,https://terms.naer.edu.tw/
576,ovum,卵子；卵細胞,卵子,https://terms.naer.edu.tw/
577,palatine bone,腭骨(Palatine or Palate bone),腭骨,https://terms.naer.edu.tw/
578,palpitation,心悸；悸動,心悸,https://terms.naer.edu.tw/
579,palsy,癱瘓；麻痺,麻痹,https://terms.naer.edu.tw/
580,pancreas,胰[腺]；胰酵素；胰[臟],胰,https://terms.naer.edu.tw/
581,pancreatic islet,胰小島；胰島,胰岛,https://terms.naer.edu.tw/
582,pancreatitis,胰腺炎；胰臟炎；胰炎,胰腺炎,https://terms.naer.edu.tw/
583,pantothenic acid,泛酸,泛酸,https://terms.naer.edu.tw/
584,paralysis,麻痺；癱瘓；停頓；間歇,瘫痪,https://terms.naer.edu.tw/
585,paraplegia,截癱；後軀麻痺,截瘫,https://terms.naer.edu.tw/
586,parathyroid gland,副甲狀腺；副盾狀腺；甲狀旁腺,甲状旁腺,https://terms.naer.edu.tw/
587,Parentage Analysis,親子鑒定,亲子鉴定,https://terms.naer.edu.tw/
588,parietal bone,顱頂骨；頂骨,顶骨,https://terms.naer.edu.tw/
589,parotid gland,腮腺,腮腺,https://terms.naer.edu.tw/
590,parotitis,腮腺炎,腮腺炎,https://terms.naer.edu.tw/
591,patella,髕；膝蓋；圓形子囊球；膝蓋骨；(虫戚)；笠螺,髌骨,https://terms.naer.edu.tw/
592,pathology,病理學,病理学,https://terms.naer.edu.tw/
593,Patient history,患者病史,病历,https://terms.naer.edu.tw/
594,Peak concentration,尖峰濃度,药峰浓度,https://terms.naer.edu.tw/
595,pectoralis major,胸大肌(M. pectoralis major ),胸大肌,https://terms.naer.edu.tw/
596,pectoralis minor,胸小肌(M. pectoralis minor ),胸小肌,https://terms.naer.edu.tw/
597,Pellagra,癩皮病；糙皮病,赖皮病,https://terms.naer.edu.tw/
598,pelvic inflammatory disease,骨盆發炎症；盆腔炎,盆腔炎,https://terms.naer.edu.tw/
599,pelvis,骨盆；盆；腎盂,骨盆,https://terms.naer.edu.tw/
600,penicillin,青黴素；盤尼西林；配尼西林,青霉素,https://terms.naer.edu.tw/
601,penis,陰莖,阴茎,https://terms.naer.edu.tw/
602,perineum,會陰,会阴,https://terms.naer.edu.tw/
603,periodontal disease,牙周病；齒根病；齒槽病；齒周病,牙周病,https://terms.naer.edu.tw/
604,periosteum,骨膜,骨膜,https://terms.naer.edu.tw/
605,peripheral nervous system,周邊神經系統；末梢神經系統；周圍神經系統；周圍神經系統；周邊神經系統,周围神经系统,https://terms.naer.edu.tw/
606,peristalsis,蠕動,蠕动,https://terms.naer.edu.tw/
607,peritoneum,腹膜；腹腔膜,腹膜,https://terms.naer.edu.tw/
608,permanent teeth,永久齒；恆齒,恒牙,https://terms.naer.edu.tw/
609,pharmacology,藥理學；藥物學,药理学,https://terms.naer.edu.tw/
610,pharmacopeia,藥典,药典,https://terms.naer.edu.tw/
611,pharmacy,藥劑學；藥學的；藥物；藥房；製藥；藥學,药学,https://terms.naer.edu.tw/
612,pharyngitis,咽炎,咽炎,https://terms.naer.edu.tw/
613,pharynx,咽；喉,咽,https://terms.naer.edu.tw/
614,phenolphthalein,酚肽,酚酞,https://terms.naer.edu.tw/
615,philtrum,人中,人中,https://terms.naer.edu.tw/
616,phospholipid,磷脂(類)；磷脂；磷脂[質],磷脂,https://terms.naer.edu.tw/
617,phrenic nerve,膈神經,膈神经,https://terms.naer.edu.tw/
618,physique,體質,体格,https://terms.naer.edu.tw/
619,pigeon breast,雞胸,鸡胸,https://terms.naer.edu.tw/
620,pineal body,松果腺；松果體；板果腺；顱頂器；鬆果腺；鬆果體,松果体,https://terms.naer.edu.tw/
621,plague,瘟疫；鼠疫,鼠疫,https://terms.naer.edu.tw/
622,planned parenthood,計畫性親職,计划生育,https://terms.naer.edu.tw/
623,Plasma concentration,血漿濃度,血药浓度,https://terms.naer.edu.tw/
624,pleura,胸膜；側；肋部；側剖；側板,胸膜,https://terms.naer.edu.tw/
625,pleural effusion,胸膜滲出液,胸腔积液,https://terms.naer.edu.tw/
626,pleurisy,胸膜炎；肋膜炎；黏連性胸膜炎；肋胸膜炎；膈胸膜炎；乾性胸膜炎；包繞性胸膜炎；纖維蛋白性胸膜炎；出血性胸膜炎；漿液纖維蛋白性胸膜炎,胸膜炎,https://terms.naer.edu.tw/
627,pneumoconiosis,石纖維肺；肺塵埃沉著症；肺塵埃沈著病,尘肺,https://terms.naer.edu.tw/
628,pneumonia,肺炎,肺炎,https://terms.naer.edu.tw/
629,pneumothorax,氣胸,气胸,https://terms.naer.edu.tw/
630,poison,毒物；毒素；毒劑； 中子吸收劑；毒藥；毒,毒物,https://terms.naer.edu.tw/
631,poison gas,毒氣,毒气,https://terms.naer.edu.tw/
632,poisonous drug,有毒藥物,毒药,https://terms.naer.edu.tw/
633,polyp,珊瑚蟲[水螅型]；水螅；息肉,息肉,https://terms.naer.edu.tw/
634,polysaccharide,多醣,多糖,https://terms.naer.edu.tw/
635,polyunsaturated fatty acid,多不飽和脂肪酸,多不饱和脂肪酸,https://terms.naer.edu.tw/
636,popliteal space,膕空間,腘窝,https://terms.naer.edu.tw/
637,posterior axillary line,腋後線,腋后线,https://terms.naer.edu.tw/
638,posterior cranial fossa,後面顱窩；後面頭側窩；後面腦窩,颅后窝,https://terms.naer.edu.tw/
639,posterior median line,後正中線,后正中线,https://terms.naer.edu.tw/
640,pregnancy,懷孕；妊娠；受孕,妊娠,https://terms.naer.edu.tw/
641,premature infant,早產兒；未成熟兒,早产儿,https://terms.naer.edu.tw/
642,prescription,處方；藥方,处方,https://terms.naer.edu.tw/
643,prostate,攝護腺；前列腺,前列腺,https://terms.naer.edu.tw/
644,protein,蛋白質,蛋白质,https://terms.naer.edu.tw/
645,Psoas,腰肌,腰大肌,https://terms.naer.edu.tw/
646,psychosis,精神病；心理變態,精神病,https://terms.naer.edu.tw/
647,pubertas,青春期,青春发育期,https://terms.naer.edu.tw/
648,puberty,青春期；發身(期)；春情期；思春期；開花期,青春期,https://terms.naer.edu.tw/
649,pubis,耻骨,耻骨,https://terms.naer.edu.tw/
650,pulmonary circulation,小循環；肺循環,肺循环,https://terms.naer.edu.tw/
651,pulmonary tuberculosis,肺結核病；肺結核,肺结核,https://terms.naer.edu.tw/
652,pulse,脈動；脈波；脈衝[波]；脈衝激發；豆；節拍；脈；脈搏,脉搏,https://terms.naer.edu.tw/
653,pyelonephritis,腎盂腎炎；腎小管炎,肾盂肾炎,https://terms.naer.edu.tw/
654,pyramidal system,錐體系,锥体系,https://terms.naer.edu.tw/
655,quadriceps femoris,股四頭肌,股四头肌,https://terms.naer.edu.tw/
656,quarantine,檢疫；檢疫所；隔離所 ；檢疫期；隔離；存放檢查,检疫,https://terms.naer.edu.tw/
657,quinine,奎寧；奎寧[鹼]；金雞納鹼；金雞納,奎宁,https://terms.naer.edu.tw/
658,rabies,狂犬病；恐水病；恐水症,狂犬病,https://terms.naer.edu.tw/
659,radial artery,橈動脈,桡动脉,https://terms.naer.edu.tw/
660,radial nerve,橈神經；輻神經,桡神经,https://terms.naer.edu.tw/
661,radiation disease,射線病；放射病；輻射病,放射病,https://terms.naer.edu.tw/
662,radioactive contamination,放射性汙染；放射污染；放射性沾汙；放射線物質汙染；游離輻射污染,放射性污染,https://terms.naer.edu.tw/
663,radiology,輻射學；放射(醫)學；放射線學；X射線學,放射学,https://terms.naer.edu.tw/
664,radius,橈骨；蜿曲度；範圍；半徑,桡骨,https://terms.naer.edu.tw/
665,receptor,感受器；感器；接受器；受[納][容]體；受[納]器；接收體 (生物)；受納器,受体,https://terms.naer.edu.tw/
666,recipe,食譜；配方；烹調法；處方；取；配,食谱,https://terms.naer.edu.tw/
667,recrudescence,覺醒；再燃；再發,复发,https://terms.naer.edu.tw/
668,rectum,直腸；直[線]的(拉丁管),直肠,https://terms.naer.edu.tw/
669,rectus abdominis,腹直肌(RECTUS ABDOMINIS ；Musculus rectus abdominis；M. rectus abdominis),腹直肌,https://terms.naer.edu.tw/
670,reflection,反射[作用]；反光；反省；偏轉；{光波、聲波}反射；反思；反映；映射；反射波,反射,https://terms.naer.edu.tw/
671,reflex arc,反射弧；反射弧,反射弧,https://terms.naer.edu.tw/
672,regeneration,再生；再生作用；改造；改良；交流換熱[法]； 回收；再生現象； 熱回收 ； 蓄熱；更新；正反饋放大；正回授放大；還原(存儲設備)；回熱；再生,再生,https://terms.naer.edu.tw/
673,relapsing fever,迴歸熱,回归热,https://terms.naer.edu.tw/
674,renal calculus,腎結石；腎石,肾结石,https://terms.naer.edu.tw/
675,Renal glucose threshold,腎臟之葡萄糖閾值,肾糖阈,https://terms.naer.edu.tw/
676,resistance to drugs,抗藥性,抗药性,https://terms.naer.edu.tw/
677,respiration,呼吸[作用]；呼吸量,呼吸,https://terms.naer.edu.tw/
678,Respiratory center,呼吸中樞,呼吸中枢,https://terms.naer.edu.tw/
679,respiratory failure,呼吸衰竭；呼吸衰弱,呼吸衰竭,https://terms.naer.edu.tw/
680,respiratory system,呼吸系統,呼吸系统,https://terms.naer.edu.tw/
681,response,感應；反應；效應；響應；應答短歌；回應；靈敏度；感應值；特性,反应,https://terms.naer.edu.tw/
682,reticular tissue,網狀組織,网状组织,https://terms.naer.edu.tw/
683,retina,網膜；視網膜,视网膜,https://terms.naer.edu.tw/
684,rheumatic heart disease,風溼性心臟病,风湿性心脏病,https://terms.naer.edu.tw/
685,rheumatism,風濕病；僂麻質斯,风湿病,https://terms.naer.edu.tw/
686,rhinitis,鼻炎,鼻炎,https://terms.naer.edu.tw/
687,rickets,佝僂病,佝偻病,https://terms.naer.edu.tw/
688,right atrium,右心房,右心房,https://terms.naer.edu.tw/
689,right ventricle,右心室,右心室,https://terms.naer.edu.tw/
690,rubberized fabric,膠布；橡膠織物,胶布,https://terms.naer.edu.tw/
691,rubella,德國麻疹；風疹,风疹,https://terms.naer.edu.tw/
692,saccharin sodium,糖精鈉,糖精钠,https://terms.naer.edu.tw/
693,sacral plexus,薦(神經)叢,骶丛,https://terms.naer.edu.tw/
694,sacrum,薦骨；薦椎；骶骨,骶骨,https://terms.naer.edu.tw/
695,sagittal suture,直縫；縱縫,矢状缝,https://terms.naer.edu.tw/
696,saliva,唾液；涎液；涎,唾液,https://terms.naer.edu.tw/
697,sarcoma,肉瘤,肉瘤,https://terms.naer.edu.tw/
698,sartorius,縫匠肌,缝匠肌,https://terms.naer.edu.tw/
699,saturnism,鉛中毒,铅中毒,https://terms.naer.edu.tw/
700,scald,燙傷；燙浸；曬焦；燙涮；燙灼；褐斑點,烫伤,https://terms.naer.edu.tw/
701,scapula,肩胛骨；肩胛；肩板；髆骨,肩胛骨,https://terms.naer.edu.tw/
702,scapular line,肩胛線,肩胛线,https://terms.naer.edu.tw/
703,scarlet fever,猩紅熱,猩红热,https://terms.naer.edu.tw/
704,schizophrenia,精神分裂症,精神分裂症,https://terms.naer.edu.tw/
705,sclera,鞏膜,巩膜,https://terms.naer.edu.tw/
706,scrotum,陰囊,阴囊,https://terms.naer.edu.tw/
707,scurvy,壞血病,坏血病,https://terms.naer.edu.tw/
708,secondary sex characteristics,次要性徵,第二性征,https://terms.naer.edu.tw/
709,secondary sexual characteristics,第二性徵,副性征,https://terms.naer.edu.tw/
710,sedative,鎮靜劑；鎮定劑,镇静药,https://terms.naer.edu.tw/
711,Self-regulation,自動調整；自調節；自律；自我管制；自動調節,自身调节,https://terms.naer.edu.tw/
712,sensation,知覺；感覺；羶色腥；感官,感觉,https://terms.naer.edu.tw/
713,sensory neuron,感覺神經元,感觉神经元,https://terms.naer.edu.tw/
714,septic tank,化糞池；腐化槽,化粪池,https://terms.naer.edu.tw/
715,sequela,後遺症,后遗症,https://terms.naer.edu.tw/
716,serratus anterior muscle,前鋸肌(anterior serratus muscle),前锯肌,https://terms.naer.edu.tw/
717,serum,血清；漿液；血清,血清,https://terms.naer.edu.tw/
718,sexual prematurity,性早熟,性早熟,https://terms.naer.edu.tw/
719,sheath of rectus abdominis,腹直肌鞘；腹直肌鞘(Vagina m. recti abdominis ),腹直肌鞘,https://terms.naer.edu.tw/
720,shivering,粉碎；顫抖；肌震顫,寒战,https://terms.naer.edu.tw/
721,shock,震動；休克；電擊；乾草堆；玉米堆；沖擊；陡震；震波；衝擊；激變；地震；震盪；猝變；電震；爆震；捆(12包)；豆麻紗；衝擊,休克,https://terms.naer.edu.tw/
722,shock wave,震波；衝擊波,冲击波,https://terms.naer.edu.tw/
723,sickness rate,患病率,患病率,https://terms.naer.edu.tw/
724,side effect,副效應；副作用；旁效應,副作用,https://terms.naer.edu.tw/
725,sinoatrial node,竇房結,窦房结,https://terms.naer.edu.tw/
726,sinusitis,鼻竇炎；竇炎,鼻窦炎,https://terms.naer.edu.tw/
727,skeletal muscle,骨骼肌；隨意肌；骨肌,骨骼肌,https://terms.naer.edu.tw/
728,sleep,暫息；休眠；睡眠；睡覺,睡眠,https://terms.naer.edu.tw/
729,small saphenous vein,小顯靜脈,小隐静脉,https://terms.naer.edu.tw/
730,smallpox,天花；痘瘡,天花,https://terms.naer.edu.tw/
731,smooth muscle,平滑肌,平滑肌,https://terms.naer.edu.tw/
732,snow blindness,雪盲[症],雪盲,https://terms.naer.edu.tw/
733,somatic nerve,腹部神經；體神經,躯体神经,https://terms.naer.edu.tw/
734,somatic nervous system,體神經系統,躯体神经系统,https://terms.naer.edu.tw/
735,sorbitol,山梨醇；花楸醇；甜醇；山梨聚糖醇；山梨糖醇,山梨糖醇,https://terms.naer.edu.tw/
736,sour milk,酸乳；酸乳油,酸奶,https://terms.naer.edu.tw/
737,soybean sauce,黃豆調味醬；黃豆調味汁；黃豆佐料,酱油,https://terms.naer.edu.tw/
738,spasm,痙攣,痉挛,https://terms.naer.edu.tw/
739,specific drug,特殊藥物,特效药,https://terms.naer.edu.tw/
740,spermatozoon,精子[動]；精子動物,精子,https://terms.naer.edu.tw/
741,sphenoid bone,蝶骨,蝶骨,https://terms.naer.edu.tw/
742,spinal cord,脊髓,脊髓,https://terms.naer.edu.tw/
743,spinal nerves,脊椎神經；脊神經,脊神经,https://terms.naer.edu.tw/
744,Spirit Drug,精神藥物,精神药品,https://terms.naer.edu.tw/
745,spleen,脾[臟],脾,https://terms.naer.edu.tw/
746,splint,夾板；骨贅(獸足),夹板,https://terms.naer.edu.tw/
747,spongy bone,海綿質骨,骨松质,https://terms.naer.edu.tw/
748,sprain,扭傷,扭伤,https://terms.naer.edu.tw/
749,sputum,痰；銹色痰,痰,https://terms.naer.edu.tw/
750,starch,澱粉,淀粉,https://terms.naer.edu.tw/
751,stasis,停滯；鬱積；靜止｛生物進化｝；力的靜態 平衡,淤滞,https://terms.naer.edu.tw/
752,sterillization,絕育；滅菌(sterilization ),绝育,https://terms.naer.edu.tw/
753,sternal angle,胸骨角；腹板角,胸骨角,https://terms.naer.edu.tw/
754,sternocleidomastoid,胸鎖乳突肌；鎖乳突肌(sternocleidomastoid muscle ),胸锁乳突肌,https://terms.naer.edu.tw/
755,sternum,胸骨；龍骨；腹甲；腹板；龍骨(家禽),胸骨,https://terms.naer.edu.tw/
756,sterol,固醇；硬脂醇,固醇,https://terms.naer.edu.tw/
757,stethophone,電子聽診器,听诊器,https://terms.naer.edu.tw/
758,stimulus,刺激物；刺激；刺激源；激勵,刺激,https://terms.naer.edu.tw/
759,stomach,食慾；胃　,胃,https://terms.naer.edu.tw/
760,stomach cancer,胃癌,胃癌,https://terms.naer.edu.tw/
761,strabismus,斜視；斜眼,斜视,https://terms.naer.edu.tw/
762,Stress response,壓力反應(stress responses ),应激反应,https://terms.naer.edu.tw/
763,stuttering,口吃,口吃,https://terms.naer.edu.tw/
764,sublingual gland,舌下腺,舌下腺,https://terms.naer.edu.tw/
765,submandibular lymph nodes,頜下淋巴結,下颌下淋巴结,https://terms.naer.edu.tw/
766,submaxillary gland,頜下腺,颌下腺,https://terms.naer.edu.tw/
767,suckling,乳嬰；乳仔畜；吸吮；吮,乳儿,https://terms.naer.edu.tw/
768,sucrose,糖晶狀；蔗糖,蔗糖,https://terms.naer.edu.tw/
769,sudden death,瘁死,猝死,https://terms.naer.edu.tw/
770,sunstroke,中暑；日射病,日射病,https://terms.naer.edu.tw/
771,superciliary arch,眉弓(superciliary arches ),眉弓,https://terms.naer.edu.tw/
772,superficial inguinal lymph nodes,腹股溝淺淋巴結,腹股沟浅淋巴结,https://terms.naer.edu.tw/
773,superficial temporal artery,淺顳動脈,颞浅动脉,https://terms.naer.edu.tw/
774,superficial vein,表面靜脈,浅静脉,https://terms.naer.edu.tw/
775,supraspinal ligament,神經)索上韌帶；棘(突)上韌帶,棘上韧带,https://terms.naer.edu.tw/
776,surveille,監視(surveillence),监护,https://terms.naer.edu.tw/
777,Sustained and Controlled Release Prepgration,緩釋；控釋製劑,缓释与控释制剂,https://terms.naer.edu.tw/
778,sweetener,甜味劑,甜味剂,https://terms.naer.edu.tw/
779,sympathetic ganglion,交感神經節；交感神經結,交感神经节,https://terms.naer.edu.tw/
780,symptom,症狀；徵兆；述象；表征；故障特征(電子設備)；徵狀；病徵；徵候,症状,https://terms.naer.edu.tw/
781,synapse,突觸；神經結；神經鍵； 聯會；神經元突觸,突触,https://terms.naer.edu.tw/
782,syphilis,梅毒,梅毒,https://terms.naer.edu.tw/
783,systemic circulation,全身[性]循環；體循環,体循环,https://terms.naer.edu.tw/
784,tactile sensation,觸覺,触觉,https://terms.naer.edu.tw/
785,tarsal bones,跗骨,跗骨,https://terms.naer.edu.tw/
786,telencephalon,端腦；終腦,端脑,https://terms.naer.edu.tw/
787,temporal bone,顳骨,颞骨,https://terms.naer.edu.tw/
788,temporomandibular joint,顳顎關節,颞下颌关节,https://terms.naer.edu.tw/
789,tenderness,柔軟性；嫩性；嫩度；柔嫩,压痛,https://terms.naer.edu.tw/
790,tendo calcaneus,跟腱,跟腱,https://terms.naer.edu.tw/
791,test-tube baby,試管嬰兒,试管婴儿,https://terms.naer.edu.tw/
792,testis,睪丸,睾丸,https://terms.naer.edu.tw/
793,thanatosis,假死狀態；假死,假死,https://terms.naer.edu.tw/
794,thermoplegia,中署；熱射病,热射病,https://terms.naer.edu.tw/
795,third ventricle,第三腦室；第三心室,第三脑室,https://terms.naer.edu.tw/
796,thoracic cage,肋骨架,胸廓,https://terms.naer.edu.tw/
797,thoracic duct,胸管,胸导管,https://terms.naer.edu.tw/
798,thoracic vertebra,胸椎；胸椎骨,胸椎,https://terms.naer.edu.tw/
799,Threshold,閾[值]；低限；門檻；臨界(值)；(若干現象之)下部限界；界限；靈敏限；開始；底限；底限值；冰谷橫階；海底山脊；定限；冰斗丘；海閾；閾限；臨界值；臨界(閾),阈值,https://terms.naer.edu.tw/
800,thrombocyte,血小板；血栓細胞；凝血細胞；栓球,血小板,https://terms.naer.edu.tw/
801,thrombus,血栓,血栓,https://terms.naer.edu.tw/
802,thymus,胸腺；麝香草,胸腺,https://terms.naer.edu.tw/
803,thyroid gland,甲狀腺；盾狀腺,甲状腺,https://terms.naer.edu.tw/
804,tibia,脛骨,胫骨,https://terms.naer.edu.tw/
805,tic,抽搐(convulsion；tetany),抽搐,https://terms.naer.edu.tw/
806,tinea pedis,足癬,足癣,https://terms.naer.edu.tw/
807,tinnitus,耳鳴,耳鸣,https://terms.naer.edu.tw/
808,toleration,耐性,耐受性,https://terms.naer.edu.tw/
809,tongue,舌[頭]；榫；岩舌；岩股；銜鐵；舌片；語言；舌狀體；舌板；鞋舌；銜鐵,舌,https://terms.naer.edu.tw/
810,tonsil,扁桃腺,扁桃体,https://terms.naer.edu.tw/
811,tonsillitis,扁桃腺炎,扁桃体炎,https://terms.naer.edu.tw/
812,tooth,牙齒；鉸齒；牙；齒；齒狀物；加齒；使成鋸齒狀,牙齿,https://terms.naer.edu.tw/
813,trachea,氣管；導管,气管,https://terms.naer.edu.tw/
814,trachoma,砂眼；女陰乾皺,沙眼,https://terms.naer.edu.tw/
815,traction,牽引；曳引力；掃流；拖引搬運；掃動；牽引力；曳引,牵引,https://terms.naer.edu.tw/
816,Traditional Chinese Medicine Patent Prescription,中成藥,中成药,https://terms.naer.edu.tw/
817,tranquilize,安神,安定,https://terms.naer.edu.tw/
818,transversus abdominis,腹橫肌(M. transversus abdominis ),腹横肌,https://terms.naer.edu.tw/
819,trapezius,斜方肌,斜方肌,https://terms.naer.edu.tw/
820,trauma,創傷；外傷傷害；外傷；挫傷；關節痛；損傷,创伤,https://terms.naer.edu.tw/
821,tremor,微震；顫動；震顫；顫抖,震颤,https://terms.naer.edu.tw/
822,triceps brachii,肱三頭肌(M. triceps brachii ),肱三头肌,https://terms.naer.edu.tw/
823,triceps surae,小腿三頭肌,小腿三头肌,https://terms.naer.edu.tw/
824,trigeminal nerve,三叉神經,三叉神经,https://terms.naer.edu.tw/
825,trochlear nerve,滑車神經,滑车神经,https://terms.naer.edu.tw/
826,tsutsugamushi disease,恙蟲病,恙虫病,https://terms.naer.edu.tw/
827,tuberculosis of intestine,腸結核症；腸結核[病],肠结核,https://terms.naer.edu.tw/
