序號,英文名稱,中文名稱,中國大陸譯名,來源網站
221,diaphragm,橫膈膜；遮光板,膈,https://terms.naer.edu.tw/
222,die,死亡,死亡,https://terms.naer.edu.tw/
223,diencephalon,間腦,间脑,https://terms.naer.edu.tw/
224,digestion,消化[作用]；分解；浸提；蒸煮；碎解；蒸解,消化,https://terms.naer.edu.tw/
225,digestive gland,消化腺,消化腺,https://terms.naer.edu.tw/
226,digestive tract,消化道,消化管,https://terms.naer.edu.tw/
227,diphtheria,白喉；白喉症,白喉,https://terms.naer.edu.tw/
228,disaccharide,雙醣；二醣,双糖,https://terms.naer.edu.tw/
229,disease,疾病,疾病,https://terms.naer.edu.tw/
230,dislocation,脫位,脱位,https://terms.naer.edu.tw/
231,dispensation,配方(formulation；recipe； formula ),配方,https://terms.naer.edu.tw/
232,dizygotic twins,雙卵孿生,双卵孪生,https://terms.naer.edu.tw/
233,dizziness,暈眩,头晕,https://terms.naer.edu.tw/
234,domestic sewage,生活污水；民生污水,生活污水,https://terms.naer.edu.tw/
235,dorsal thalamus,背側丘腦,背侧丘脑,https://terms.naer.edu.tw/
236,dose,一劑量；一劑；酒矯味劑；劑量；用量；配量；放射性劑量；量,剂量,https://terms.naer.edu.tw/
237,dream,夢,梦,https://terms.naer.edu.tw/
238,drowning,沉溺,溺死,https://terms.naer.edu.tw/
239,Drug,藥物,药品,https://terms.naer.edu.tw/
240,Drug compatibility,藥物相容性；藥物調和性；藥物互適性；藥物適合性；藥物親和性；藥物互換性；藥物兼容性；藥物適應性；藥物一致性；藥物楔合度；藥物和合性；藥物適用性；藥物一致,药物配伍,https://terms.naer.edu.tw/
241,Drug metabelism,藥物代謝,药物代谢,https://terms.naer.edu.tw/
242,Drug peak time,藥物尖峰時間,药峰时间,https://terms.naer.edu.tw/
243,drug resistance,抗藥性,耐药性,https://terms.naer.edu.tw/
244,duodenum,十二指腸,十二指肠,https://terms.naer.edu.tw/
245,dysentery,赤痢；痢疾,痢疾,https://terms.naer.edu.tw/
246,dysmenorrhea,痛經；月經困難；經痛,痛经,https://terms.naer.edu.tw/
247,dystocia,難產,难产,https://terms.naer.edu.tw/
248,echinococcosis,包蟲病；棘球蟲病；囊蟲症；胞蟲病,包虫病,https://terms.naer.edu.tw/
249,eczema,濕疹,湿疹,https://terms.naer.edu.tw/
250,edema,水腫,水肿,https://terms.naer.edu.tw/
251,edible colorant,食用著色劑,食用色素,https://terms.naer.edu.tw/
252,elbow joint,肘關節；彎頭接合；肘接；肘管接頭,肘关节,https://terms.naer.edu.tw/
253,electric shock,電擊,触电,https://terms.naer.edu.tw/
254,electrocardiogram,心電圖,心电图,https://terms.naer.edu.tw/
255,electroencephalogram,腦波；腦電圖；腦波圖；腦電波圖,脑电图,https://terms.naer.edu.tw/
256,electrophoresis,電泳,电泳,https://terms.naer.edu.tw/
257,emphysema,肺氣腫；氣腫,肺气肿,https://terms.naer.edu.tw/
258,enamel,牙釉質,牙釉质,https://terms.naer.edu.tw/
